leagueid,name,tier_inferred,location_inferred,confidence,reason,tier_field
17747, Universal League S2,regular,online,medium,default:regular/online,professional
16427,1WIN SERIES DOTA 2,regular,online,medium,default:regular/online,professional
16011,2023 Xmas Cup,regular,online,medium,default:regular/online,professional
16108,2024 New Year Cup,regular,online,medium,default:regular/online,professional
17875,ACL×ESL Challenger China,regular,online,medium,default:regular/online,professional
18502,Americas Convergence Series 1,regular,online,medium,default:regular/online,professional
18498,Americas Convergence Series 1,regular,online,medium,default:regular/online,professional
18474,Americas Convergence Series 1,regular,online,medium,default:regular/online,professional
16714,Arena of Gods,regular,online,medium,default:regular/online,professional
16925,Asian Dragon Series: Continental Collision,regular,online,medium,default:regular/online,professional
17458,AsiaPro League,regular,online,medium,default:regular/online,professional
17622,AsiaPro League S2,regular,online,medium,default:regular/online,professional
17199,Battle Squawk,regular,online,medium,default:regular/online,professional
16098,BetBoom Dacha - Closed Qualifier - China and SEA,qualifier,online,high,keyword:qualifier,professional
16093,BetBoom Dacha - Closed Qualifier - EEU,qualifier,online,high,keyword:qualifier,professional
16100,BetBoom Dacha - Closed Qualifier - MENA,qualifier,online,high,keyword:qualifier,professional
16097,BetBoom Dacha - Closed Qualifier - NA and SA,qualifier,online,high,keyword:qualifier,professional
16099,BetBoom Dacha - Closed Qualifier - WEU,qualifier,online,high,keyword:qualifier,professional
17126,BetBoom Dacha Belgrade 2024,major,lan,high,keyword:major/lan,professional
17122,BetBoom Dacha Belgrade 2024 - Closed Qualifiers - Americas,qualifier,online,high,keyword:qualifier,professional
17109,BetBoom Dacha Belgrade 2024 - Closed Qualifiers - China,qualifier,online,high,keyword:qualifier,professional
17092,BetBoom Dacha Belgrade 2024 - Closed Qualifiers - EEU,qualifier,online,high,keyword:qualifier,professional
17108,BetBoom Dacha Belgrade 2024 - Closed Qualifiers - SEA,qualifier,online,high,keyword:qualifier,professional
17091,BetBoom Dacha Belgrade 2024 - Closed Qualifiers - WEU,qualifier,online,high,keyword:qualifier,professional
16169,BetBoom Dacha Dubai 2024,major,lan,high,keyword:major/lan,professional
18592,BetBoom RU Battle,regular,online,medium,default:regular/online,professional
17554,Bitel True Fighters #4,regular,online,medium,default:regular/online,professional
17074,Bitel True Fighters 2024,regular,online,medium,default:regular/online,professional
17414,BLAST SLAM I,major,lan,high,keyword:blast slam (lan finals assumed),professional
18706,BLAST Slam IV: China Closed Qualifier,qualifier,online,high,keyword:qualifier,professional
18830,BLAST Slam V: China Closed Qualifier,qualifier,online,high,keyword:qualifier,professional
16158,Blizzard Brawl: New year decider,regular,online,medium,default:regular/online,professional
18242,CCT Dota 2 Season 2 Series 1,regular,online,medium,default:regular/online,professional
18201,CCT Dota 2 Season 2 Series 1,regular,online,medium,default:regular/online,professional
18374,CCT Dota 2 Season 2 Series 2,regular,online,medium,default:regular/online,professional
18396,CCT Dota 2 Season 2 Series 3,regular,online,medium,default:regular/online,professional
18524,CCT Dota 2 Season 2 Series 4,regular,online,medium,default:regular/online,professional
18666,CCT Dota 2 Season 2 Series 5,regular,online,medium,default:regular/online,professional
18955,CCT Dota 2 Season 2 Series 6,regular,online,medium,default:regular/online,professional
18799,CCT Dota 2 Season 2 South America Series 1,regular,online,medium,default:regular/online,professional
16869,CCT Dota 2 Series 1,regular,online,medium,default:regular/online,professional
16953,CCT Dota 2 Series 2,regular,online,medium,default:regular/online,professional
17056,CCT Dota 2 Series 3,regular,online,medium,default:regular/online,professional
17111,CCT Dota 2 Series 4,regular,online,medium,default:regular/online,professional
17425,CCT Dota 2 Series 5,regular,online,medium,default:regular/online,professional
17637,CCT Dota 2 Series 6,regular,online,medium,default:regular/online,professional
17782,CCT Dota 2 Series 7,regular,online,medium,default:regular/online,professional
17984,CCT Dota 2 Series 8,regular,online,medium,default:regular/online,professional
18660,CIS Battle 3,regular,online,medium,default:regular/online,professional
18491,CIS Battle Dota 2,regular,online,medium,default:regular/online,professional
16901,Clavision DOTA League S1 : Snow-Ruyi,regular,online,medium,default:regular/online,professional
18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,regular,online,medium,default:regular/online,professional
16338,Cringe Station Tournament,regular,online,medium,default:regular/online,professional
18769,DreamLeague Division 2 Season 1,regular,online,medium,default:regular/online,professional
18897,DreamLeague Division 2 Season 2,regular,online,medium,default:regular/online,professional
16201,DreamLeague Season 22 powered by Intel,major,online,high,keyword:dreamleague (online tier1),professional
16053,DreamLeague Season 22 Qualifiers,qualifier,online,high,keyword:qualifier,professional
16632,DreamLeague Season 23 powered by Intel,major,online,high,keyword:dreamleague (online tier1),professional
16390,DreamLeague Season 23 Qualifiers Powered by Intel,qualifier,online,high,keyword:qualifier,professional
17272,DreamLeague Season 24 powered by Intel,major,online,high,keyword:dreamleague (online tier1),professional
