tournament_name,leagueid,matches_count
European Pro League 2024-2025 Season,17381,1096
EPL World Series: Southeast Asia 2024-2025 Season,17659,544
European Pro League 2023-2024 Season,15898,420
DreamLeague Season 25 Qualifiers powered by Intel,17628,246
ESL One Raleigh 2025 Qualifiers,17629,244
ESL One Bangkok 2024 Qualifiers powered by Intel,17299,242
DreamLeague Season 27 Qualifiers,18629,241
DreamLeague Season 26 Qualifiers,17874,223
DreamLeague Season 26,18111,202
Elite League by FISSURE and ESB,16483,199
DreamLeague Season 22 powered by Intel,16201,198
ESL One Birmingham 2024 Qualifiers powered by Intel,16140,198
DreamLeague Season 25 powered by Intel,17765,196
EPL World Series: America 2024-2025 Season,17367,195
DreamLeague Season 24 powered by Intel,17272,194
Riyadh Masters 2024 at Esports World Cup,16881,188
Esports World Cup 2025 Qualifiers,18210,184
DreamLeague Season Qualifiers 24 powered by Intel,17135,178
DreamLeague Division 2 Season 1,18769,170
European Pro League 2025-2026 Season,18866,166
DreamLeague Season 23 Qualifiers Powered by Intel,16390,164
Elite League Season 2 Main Event – presented by ESB,16905,158
DreamLeague Season 22 Qualifiers,16053,145
The International 2025,18324,144
Riyadh Masters 2024 at Esports World Cup Qualifiers,16740,140
EPL World Series: America 2023-2024 Season,15899,129
FISSURE PLAYGROUND 2,18863,124
PGL Wallachia 2025 Season 6,18920,118
FISSURE Universe Episode 6,18433,117
The International 2024,16935,117
FISSURE Universe Episode 5,18107,116
PGL Wallachia 2025 Season 5,18358,116
PGL Wallachia 2025 Season 4,18058,115
CIS Battle 3,18660,112
PGL Wallachia 2025 Season 3,17891,112
PGL Wallachia 2024 Season 2,17119,111
FISSURE Universe Episode 4,17907,110
PGL Wallachia 2024 Season 1,16669,110
DreamLeague Division 2 Season 2,18897,98
SLAM IV,17419,96
BetBoom Dacha Belgrade 2024,17126,95
ESL One Birmingham 2024 Powered by Intel,16518,94
LEON.BET Masters DOTA2 #1,16743,93
SLAM V,17420,93
BetBoom Dacha Dubai 2024,16169,91
ESL One Raleigh 2025,17795,90
Esports World Cup 2025,18375,89
FISSURE PLAYGROUND 1 - Dota,17588,87
CIS Battle Dota 2,18491,87
ESL One Bangkok 2024 powered by Intel,17509,86
Clavision DOTA2 Masters 2025: Snow-Ruyi,18359,85
DreamLeague Season 23 powered by Intel,16632,85
CCT Dota 2 Series 7,17782,85
BetBoom RU Battle,18592,85
1WIN SERIES DOTA 2,16427,83
RES - Regional Series EU #4,16710,81
Clavision DOTA League S1 : Snow-Ruyi,16901,81
CCT Dota 2 Series 6,17637,81
Americas Convergence Series 1,18502,77
Phoenix League,17059,76
Snake Trophy,18105,76
FISSURE Universe Episode 7,18633,75
CCT Dota 2 Series 5,17425,74
CCT Dota 2 Series 8,17984,72
Kobolds Rave 2,16586,71
Snake Trophy,18618,70
CCT Dota 2 Series 3,17056,68
CCT Dota 2 Series 4,17111,67
CCT Dota 2 Season 2 Series 6,18955,61
FISSURE Special,18046,59
CCT Dota 2 Season 2 Series 3,18396,57
FISSURE Universe: Episode 3,16846,57
WINLINE InSight Season 5,16290,56
CCT Dota 2 Season 2 Series 4,18524,56
CCT Dota 2 Season 2 Series 2,18374,55
CCT Dota 2 Series 2,16953,54
ACL×ESL Challenger China,17875,51
Games of Future 2024,15981,50
Asian Dragon Series: Continental Collision,16925,49
AsiaPro League S2,17622,48
CCT Dota 2 Season 2 Series 5,18666,48
EPL World Series: Southeast Asia 2025-2026 Season,18865,46
